Campaign,Status,Sent,Opened,Replied,Reply%,Bounced,Unsubscribed
c-OnSocial_IM-FIRST AGENCIES US_CANADA_LATAM #C,ACTIVE,1175,0,7,0.6%,9,0
c-OnSocial_IM-FIRST AGENCIES EUROPE #C,PAUSED,1036,0,9,0.9%,1,0
c-OnSocial_IM-FIRST AGENCIES INDIA #C,ACTIVE,347,0,2,0.6%,1,0
c-OnSocial_INDIA #C,ACTIVE,254,0,3,1.2%,3,0
c-OnSocial_IM-FIRST AGENCIES #C,ACTIVE,244,0,3,1.2%,1,0
c-OnSocial_INFLUENCER PLATFORMS ALL GEO #C,ACTIVE,210,0,2,1.0%,0,0
c-OnSocial_IM-FIRST AGENCIES ALL GEO #C,ACTIVE,158,0,4,2.5%,2,0
c-OnSocial_AFFILIATE & PERFORMANCE #C,PAUSED,152,0,0,0.0%,1,0
c-OnSocial_INFLUENCER PLATFORMS #C,ACTIVE,147,0,0,0.0%,0,0
c-OnSocial_INFLUENCER PLATFORMS MENA+APAC #C,ACTIVE,97,0,1,1.0%,0,0
c-OnSocial_LATAM #C,ACTIVE,91,0,0,0.0%,0,0
c-OnSocial_INFLUENCER PLATFORMS INDIA #C,ACTIVE,84,0,0,0.0%,1,0
c-OnSocial_IM agencies & SaaS_US&EU,PAUSED,51,0,1,2.0%,0,0
c-OnSocial_IM_PLATFORMS,PAUSED,38,0,0,0.0%,1,0
c-OnSocial_INFLUENCER PLATFORMS AMERICAS #C,PAUSED,25,0,1,4.0%,0,0
TOTAL,,4109,0,33,0.8%,20,0
