domain,company_name,country
moonio.io,Moonio,Spain
vrinfluence.ai,VRinfluence.ai,
igotrend.com,IGoTrend,Nigeria
kolplanet.com,KOLPlanet,China
rizersocial.io,Rizer Social AI,United States
arsenal.gg,Arsenal.gg,United States
influencify.io,Influencify,Canada
conex.id,Conex,Indonesia
forefrontatl.com,Forefront,United States
playnest.com.br,PlayNest,Brazil
prprophet.ai,PRophet,United States
znap.link,Zaap,Italy
geni.mn,Geni Platform,Mongolia
crivey.com,Crivey AI,
acast.com,Acast,France
mediamixer.io,MediaMixer,United States
colegram.io,Colegram,France
sphereinfluencer.com,Sphere,United States
thecollabers.com,The Collabers,
usevynture.com,Vynture,
brandbacker.com,BrandBacker,United States
kulturepanel.com,Kulture Panel,Uganda
goinsiders.com.br,GoInsiders,Brazil
sparkfly.net,SparkFly Media,
atlaseek.com,Atlaseek,United Arab Emirates
vhub.ai,vHub.ai,
icollabs.com,iCollabs India,India
sociocreator.com,SocioCreator,India
allymatic.com,allymatic,
starbuzz.ai,Starbuzz.ai,
hypefy.ai,Hypefy,
2ta.io,2TA.IO,
starrykol.com,Starry,
